Las Palmas,1972-73,G,G,E,P,G,P,P,P,P,E,E,E,P,G,P,G,E,P,G,P,P,P,G,G,E,P,E,G,P,G
Oviedo,1972-73,P,P,P,G,P,E,E,G,E,P,P,E,E,E,E,P,G,G,P,E,P,G,E,G,G,E,P,P,G,G
CD Malaga,1972-73,E,E,E,G,P,G,G,P,E,G,E,G,P,E,G,G,P,P,G,G,P,E,P,P,E,G,P,G,P,E
Atletico de Bilbao,1972-73,E,E,G,G,P,G,P,P,P,G,P,E,E,G,E,P,G,G,P,E,P,G,P,P,E,G,P,G,P,E
Atletico de Madrid,1972-73,P,G,G,G,E,P,G,G,G,E,P,E,G,G,G,E,E,G,G,P,P,P,G,G,E,G,G,G,G,G
Valencia,1972-73,G,P,E,E,E,G,E,E,P,P,G,P,G,P,G,E,E,P,E,E,G,P,P,P,G,P,G,P,G,E
Barcelona,1972-73,G,G,G,G,G,E,G,P,E,E,G,E,G,P,E,G,G,G,E,E,G,E,P,G,G,P,G,P,G,P
Deportivo,1972-73,P,E,P,G,E,E,G,E,E,P,P,P,G,P,G,P,E,P,P,E,E,G,E,P,E,P,G,P,G,P
Burgos,1972-73,G,P,E,P,E,P,G,P,G,P,E,P,P,P,E,G,P,P,G,P,E,P,G,P,P,G,G,P,P,P
Real Sociedad,1972-73,P,E,G,E,P,G,P,G,P,G,G,G,E,G,P,G,P,G,P,G,P,E,P,P,P,G,E,G,P,P
Castellon,1972-73,P,P,P,E,G,P,P,G,G,E,P,E,G,G,P,G,P,P,G,E,G,E,G,G,P,G,P,G,E,E
Real Madrid,1972-73,G,G,E,P,P,G,E,E,G,G,P,G,G,P,G,P,G,G,P,G,G,E,G,E,E,G,G,E,G,P
Celta de Vigo,1972-73,E,E,P,P,E,G,P,G,P,E,P,P,P,G,E,E,P,P,G,P,G,G,P,G,E,P,P,E,E,G
Espanol,1972-73,E,G,E,G,E,E,E,G,E,G,G,E,P,G,E,P,G,G,P,G,G,G,G,G,P,G,P,G,E,G
Espanol,1973-74,G,P,G,P,E,P,G,P,G,E,P,G,P,G,P,G,P,P,G,P,E,G,E,P,G,E,E,E,G,G
Murcia,1973-74,P,E,E,G,E,G,E,E,E,P,G,P,G,P,P,P,E,G,P,P,P,P,E,P,G,P,E,G,G,P
Real Sociedad,1973-74,P,E,G,E,G,P,G,P,G,P,G,E,G,P,P,E,P,P,G,G,G,E,P,G,E,G,E,G,G,P
Granada,1973-74,G,E,E,G,E,P,P,P,E,P,G,E,G,P,G,P,G,G,G,G,P,E,E,P,E,E,G,P,E,E
Real Madrid,1973-74,E,E,E,P,G,E,E,E,G,P,G,P,G,P,G,E,E,P,P,G,G,P,P,P,G,G,G,P,G,P
Castellon,1973-74,E,G,E,P,E,P,P,P,G,E,E,P,P,E,E,P,G,G,P,P,G,G,P,P,G,E,E,P,E,P
Valencia,1973-74,G,P,G,G,P,G,G,G,P,G,E,E,P,P,P,P,P,G,P,G,E,G,G,E,P,P,P,G,E,G
