Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,FC Barcelona,38.0,25.0,6.0,7.0,56.0
2.0,RC Deportivo,38.0,22.0,12.0,4.0,56.0
3.0,Real Zaragoza,38.0,19.0,8.0,11.0,46.0
4.0,Real Madrid,38.0,19.0,7.0,12.0,45.0
5.0,Athletic Club,38.0,16.0,11.0,11.0,43.0
6.0,Sevilla FC,38.0,15.0,12.0,11.0,42.0
7.0,Valencia CF,38.0,14.0,12.0,12.0,40.0
8.0,Racing de Santander,38.0,15.0,8.0,15.0,38.0
9.0,Real Oviedo,38.0,12.0,13.0,13.0,37.0
10.0,CD Tenerife,38.0,15.0,6.0,17.0,36.0
11.0,Real Sociedad,38.0,12.0,12.0,14.0,36.0
12.0,Atlético de Madrid,38.0,13.0,9.0,16.0,35.0
13.0,Albacete Balompié,38.0,10.0,15.0,13.0,35.0
14.0,Sporting de Gijón,38.0,15.0,5.0,18.0,35.0
15.0,Celta de Vigo,38.0,11.0,11.0,16.0,33.0
16.0,CD Logroñés,38.0,9.0,15.0,14.0,33.0
17.0,Rayo Vallecano,38.0,9.0,13.0,16.0,31.0
18.0,Real Valladolid,38.0,8.0,14.0,16.0,30.0
19.0,UE Lleida,38.0,7.0,13.0,18.0,27.0
20.0,CA Osasuna,38.0,8.0,10.0,20.0,26.0
