Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,CF Barcelona[Nota 1]​,30.0,24.0,3.0,3.0,51.0
2.0,Real Madrid[Nota 2]​,30.0,21.0,5.0,4.0,47.0
3.0,Atlético de Bilbao,30.0,17.0,2.0,11.0,36.0
4.0,Valencia CF,30.0,13.0,7.0,10.0,33.0
5.0,Atlético de Madrid,30.0,13.0,6.0,11.0,32.0
6.0,Real Betis,30.0,14.0,4.0,12.0,32.0
7.0,RCD Español,30.0,11.0,7.0,12.0,29.0
8.0,CA Osasuna,30.0,12.0,4.0,14.0,28.0
9.0,Real Zaragoza,30.0,12.0,4.0,14.0,28.0
10.0,Real Sociedad,30.0,9.0,10.0,11.0,28.0
11.0,Real Oviedo,30.0,11.0,5.0,14.0,27.0
12.0,Sevilla CF,30.0,12.0,2.0,16.0,26.0
13.0,Granada CF,30.0,11.0,4.0,15.0,26.0
14.0,UD Las Palmas,30.0,10.0,4.0,16.0,24.0
15.0,Real Gijón,30.0,7.0,6.0,17.0,20.0
16.0,Celta de Vigo,30.0,4.0,5.0,21.0,13.0
