Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,FC Barcelona,38.0,24.0,7.0,7.0,79.0
2.0,Real Madrid,38.0,21.0,5.0,12.0,68.0
3.0,RCD Mallorca,38.0,20.0,6.0,12.0,66.0
4.0,Valencia CF,38.0,19.0,8.0,11.0,65.0
5.0,Celta de Vigo,38.0,17.0,13.0,8.0,64.0
6.0,RC Deportivo,38.0,17.0,12.0,9.0,63.0
7.0,RCD Español,38.0,16.0,13.0,9.0,61.0
8.0,Athletic Club[Nota 1]​,38.0,17.0,9.0,12.0,60.0
9.0,Real Zaragoza,38.0,16.0,9.0,13.0,57.0
10.0,Real Sociedad,38.0,14.0,12.0,12.0,54.0
11.0,Real Betis,38.0,14.0,7.0,17.0,49.0
12.0,Real Valladolid,38.0,13.0,9.0,16.0,48.0
13.0,Atlético de Madrid[Nota 2]​,38.0,12.0,10.0,16.0,46.0
14.0,Real Oviedo,38.0,11.0,12.0,15.0,45.0
15.0,Racing de Santander,38.0,10.0,12.0,16.0,42.0
16.0,Dep Alavés,38.0,11.0,7.0,20.0,40.0
17.0,CF Extremadura,38.0,9.0,12.0,17.0,39.0
18.0,Villarreal CF,38.0,8.0,12.0,18.0,36.0
19.0,CD Tenerife,38.0,7.0,13.0,18.0,34.0
20.0,UD Salamanca,38.0,7.0,6.0,25.0,27.0
