Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Valencia C F,38.0,21.0,12.0,5.0,75.0
2.0,Deportivo de La Coruña,38.0,20.0,8.0,10.0,68.0
3.0,Real Madrid C F[Nota 1]​,38.0,19.0,9.0,10.0,66.0
4.0,F C Barcelona,38.0,18.0,10.0,10.0,64.0
5.0,Celta de Vigo,38.0,16.0,12.0,10.0,60.0
6.0,Real Betis,38.0,15.0,14.0,9.0,59.0
7.0,Deportivo Alavés[Nota 2]​,38.0,17.0,3.0,18.0,54.0
8.0,Sevilla F C,38.0,14.0,11.0,13.0,53.0
9.0,Athletic Club,38.0,14.0,11.0,13.0,53.0
10.0,Málaga C F,38.0,13.0,14.0,11.0,53.0
11.0,Rayo Vallecano,38.0,13.0,10.0,15.0,49.0
12.0,Real Valladolid,38.0,13.0,9.0,16.0,48.0
13.0,Real Sociedad,38.0,13.0,8.0,17.0,47.0
14.0,R C D Español,38.0,13.0,8.0,17.0,47.0
15.0,Villarreal C F,38.0,11.0,10.0,17.0,43.0
16.0,R C D Mallorca,38.0,11.0,10.0,17.0,43.0
17.0,C A Osasuna,38.0,10.0,12.0,16.0,42.0
18.0,U D Las Palmas,38.0,9.0,13.0,16.0,40.0
19.0,C D Tenerife,38.0,10.0,8.0,20.0,38.0
20.0,Real Zaragoza,38.0,9.0,10.0,19.0,37.0
