Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Atlético de Madrid,34.0,20.0,8.0,6.0,48.0
2.0,CF Barcelona,34.0,18.0,10.0,6.0,46.0
3.0,RCD Español,34.0,17.0,11.0,6.0,45.0
4.0,Real Madrid,34.0,17.0,9.0,8.0,43.0
5.0,CD Castellón,34.0,13.0,9.0,12.0,35.0
6.0,Valencia CF,34.0,12.0,10.0,12.0,34.0
7.0,Real Sociedad,34.0,13.0,8.0,13.0,34.0
8.0,Real Zaragoza,34.0,10.0,14.0,10.0,34.0
9.0,Athletic Club,34.0,12.0,9.0,13.0,33.0
10.0,CD Málaga,34.0,11.0,11.0,12.0,33.0
11.0,UD Las Palmas,34.0,11.0,9.0,14.0,31.0
12.0,Real Oviedo,34.0,9.0,12.0,13.0,30.0
13.0,Granada CF,34.0,9.0,11.0,14.0,29.0
14.0,Sporting de Gijón,34.0,11.0,7.0,16.0,29.0
15.0,Celta de Vigo,34.0,10.0,9.0,15.0,29.0
16.0,Real Betis,34.0,7.0,14.0,13.0,28.0
17.0,Deportivo de La Coruña,34.0,7.0,13.0,14.0,27.0
18.0,Burgos CF,34.0,9.0,6.0,19.0,24.0
