Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,38.0,28.0,6.0,4.0,62.0
2.0,Real Sociedad,38.0,22.0,7.0,9.0,51.0
3.0,Atlético de Madrid,38.0,19.0,10.0,9.0,48.0
4.0,Athletic Club,38.0,17.0,12.0,9.0,46.0
5.0,CA Osasuna,38.0,15.0,10.0,13.0,40.0
6.0,FC Barcelona,38.0,15.0,9.0,14.0,39.0
7.0,Celta de Vigo,38.0,14.0,11.0,13.0,39.0
8.0,Real Valladolid,38.0,13.0,12.0,13.0,38.0
9.0,Sporting de Gijón,38.0,14.0,10.0,14.0,38.0
10.0,Sevilla FC,38.0,13.0,11.0,14.0,37.0
11.0,Real Zaragoza,38.0,11.0,14.0,13.0,36.0
12.0,Cádiz CF,38.0,11.0,13.0,14.0,35.0
13.0,CD Logroñés,38.0,12.0,9.0,17.0,33.0
14.0,Valencia CF,38.0,10.0,13.0,15.0,33.0
15.0,RCD Español,38.0,11.0,11.0,16.0,33.0
16.0,Real Betis,38.0,14.0,5.0,19.0,33.0
17.0,Real Murcia,38.0,9.0,13.0,16.0,31.0
18.0,Real Mallorca,38.0,9.0,12.0,17.0,30.0
19.0,CE Sabadell,38.0,9.0,11.0,18.0,29.0
20.0,UD Las Palmas,38.0,12.0,5.0,21.0,29.0
