Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,FC Barcelona ,30.0,19.0,4.0,7.0,42.0
2.0,Valencia CF,30.0,16.0,8.0,6.0,40.0
3.0,Real Madrid CF,30.0,18.0,3.0,9.0,39.0
4.0,RCD Español,30.0,16.0,4.0,10.0,36.0
5.0,Sevilla FC,30.0,16.0,2.0,12.0,34.0
6.0,Athletic Club,30.0,14.0,4.0,12.0,32.0
7.0,Sporting de Gijón,30.0,11.0,8.0,11.0,30.0
8.0,Atlético de Madrid,30.0,13.0,4.0,13.0,30.0
9.0,Real Oviedo,30.0,12.0,5.0,13.0,29.0
10.0,Real Sociedad,30.0,10.0,8.0,12.0,28.0
11.0,Racing de Santander,30.0,11.0,5.0,14.0,27.0
12.0,Real Valladolid,30.0,10.0,5.0,15.0,25.0
13.0,Celta Vigo,30.0,10.0,5.0,15.0,25.0
14.0,Deportivo La Coruña,30.0,9.0,6.0,15.0,24.0
15.0,CD Málaga,30.0,10.0,2.0,18.0,22.0
16.0,Real Zaragoza,30.0,6.0,5.0,19.0,17.0
