Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Sevilla CF,26.0,14.0,8.0,4.0,36.0
2.0,CF Barcelona,26.0,14.0,7.0,5.0,35.0
3.0,Athletic Club,26.0,14.0,5.0,7.0,33.0
4.0,Real Madrid,26.0,11.0,9.0,6.0,31.0
5.0,Real Oviedo,26.0,10.0,10.0,6.0,30.0
6.0,Valencia CF,26.0,9.0,10.0,7.0,28.0
7.0,Atlético Aviación,26.0,10.0,6.0,10.0,26.0
8.0,CD Castellón,26.0,11.0,4.0,11.0,26.0
9.0,Real Gijón,26.0,9.0,7.0,10.0,25.0
10.0,Celta de Vigo,26.0,9.0,3.0,14.0,21.0
11.0,Real Murcia,26.0,5.0,10.0,11.0,20.0
12.0,RCD Español,26.0,6.0,7.0,13.0,19.0
13.0,CD Alcoyano,26.0,7.0,5.0,14.0,19.0
14.0,Hércules CF,26.0,5.0,5.0,16.0,15.0
