Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,34.0,22.0,3.0,9.0,47.0
2.0,FC Barcelona,34.0,16.0,9.0,9.0,41.0
3.0,Athletic Club,34.0,16.0,8.0,10.0,40.0
4.0,Valencia CF,34.0,16.0,7.0,11.0,39.0
5.0,Sporting de Gijón,34.0,15.0,9.0,10.0,39.0
6.0,Atlético de Madrid,34.0,16.0,4.0,14.0,36.0
7.0,UD Las Palmas,34.0,12.0,11.0,11.0,35.0
8.0,Sevilla FC,34.0,13.0,8.0,13.0,34.0
9.0,UD Salamanca,34.0,14.0,6.0,14.0,34.0
10.0,Rayo Vallecano,34.0,12.0,9.0,13.0,33.0
11.0,Real Sociedad,34.0,12.0,9.0,13.0,33.0
12.0,Burgos CF,34.0,10.0,11.0,13.0,31.0
13.0,Racing de Santander,34.0,11.0,9.0,14.0,31.0
14.0,RCD Español,34.0,12.0,6.0,16.0,30.0
15.0,Hércules CF,34.0,10.0,10.0,14.0,30.0
16.0,Real Betis,34.0,11.0,8.0,15.0,30.0
17.0,Elche CF,34.0,11.0,5.0,18.0,27.0
18.0,Cádiz CF,34.0,7.0,8.0,19.0,22.0
