Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,30.0,21.0,5.0,4.0,47.0
2.0,Atlético de Madrid,30.0,20.0,3.0,7.0,43.0
3.0,Real Zaragoza,30.0,19.0,2.0,9.0,40.0
4.0,Valencia CF,30.0,17.0,4.0,9.0,38.0
5.0,Córdoba CF,30.0,16.0,3.0,11.0,35.0
6.0,CF Barcelona,30.0,14.0,4.0,12.0,32.0
7.0,Atlético de Bilbao,30.0,13.0,6.0,11.0,32.0
8.0,Elche CF,30.0,14.0,3.0,13.0,31.0
9.0,UD Las Palmas,30.0,11.0,7.0,12.0,29.0
10.0,Sevilla CF,30.0,11.0,4.0,15.0,26.0
11.0,RCD Español,30.0,12.0,1.0,17.0,25.0
12.0,Real Betis,30.0,8.0,7.0,15.0,23.0
13.0,Real Murcia,30.0,5.0,13.0,12.0,23.0
14.0,Levante UD,30.0,8.0,5.0,17.0,21.0
15.0,Real Oviedo,30.0,7.0,6.0,17.0,20.0
16.0,Deportivo de La Coruña,30.0,6.0,3.0,21.0,15.0
