Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,34.0,20.0,10.0,4.0,50.0
2.0,Real Zaragoza,34.0,15.0,8.0,11.0,38.0
3.0,CF Barcelona,34.0,15.0,7.0,12.0,37.0
4.0,Real Sociedad,34.0,12.0,12.0,10.0,36.0
5.0,Hércules CF,34.0,11.0,14.0,9.0,36.0
6.0,Atlético de Madrid,34.0,11.0,13.0,10.0,35.0
7.0,UD Salamanca,34.0,10.0,15.0,9.0,35.0
8.0,Elche CF,34.0,13.0,8.0,13.0,34.0
9.0,Real Betis,34.0,14.0,6.0,14.0,34.0
10.0,Athletic Club,34.0,13.0,7.0,14.0,33.0
11.0,RCD Español,34.0,14.0,5.0,15.0,33.0
12.0,Valencia CF,34.0,12.0,8.0,14.0,32.0
13.0,UD Las Palmas,34.0,12.0,8.0,14.0,32.0
14.0,Real Gijón,34.0,11.0,10.0,13.0,32.0
15.0,Granada CF,34.0,10.0,11.0,13.0,31.0
16.0,CD Málaga,34.0,13.0,5.0,16.0,31.0
17.0,Celta de Vigo,34.0,10.0,10.0,14.0,30.0
18.0,Real Murcia,34.0,7.0,9.0,18.0,23.0
