,Pos,Equipos,,PJ,PG,PE,PP,Pts
,1.0,Atlético de Madrid (C),,38.0,28.0,6.0,4.0,90.0
,2.0,F CBarcelona,,38.0,27.0,6.0,5.0,87.0
,3.0,Real Madrid C F,,38.0,27.0,6.0,5.0,87.0
,4.0,Athletic Club,,38.0,20.0,10.0,8.0,70.0
,5.0,Sevilla F C,,38.0,18.0,9.0,11.0,63.0
,6.0,Villarreal C F,,38.0,17.0,8.0,13.0,59.0
,7.0,Real Sociedad [Nota 1]​,,38.0,16.0,11.0,11.0,59.0
,8.0,Valencia C F,,38.0,13.0,10.0,15.0,49.0
,9.0,R C Celta de Vigo,,38.0,14.0,7.0,17.0,49.0
,10.0,Levante U D,,38.0,12.0,12.0,14.0,48.0
,11.0,Málaga C F,,38.0,12.0,9.0,17.0,45.0
,12.0,Rayo Vallecano,,38.0,13.0,4.0,21.0,43.0
,13.0,Getafe C F,,38.0,11.0,9.0,18.0,42.0
,14.0,R C D Espanyol,,38.0,11.0,9.0,18.0,42.0
,15.0,Granada C F,,38.0,12.0,5.0,21.0,41.0
,16.0,Elche C F,,38.0,9.0,13.0,16.0,40.0
,17.0,U D Almería,,38.0,11.0,7.0,20.0,40.0
,18.0,C A Osasuna (D),,38.0,10.0,9.0,19.0,39.0
,19.0,Real Valladolid C F (D),,38.0,7.0,15.0,16.0,36.0
,20.0,Real Betis (D),,38.0,6.0,7.0,25.0,25.0
