Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Valencia CF,30.0,18.0,7.0,5.0,43.0
2.0,CF Barcelona,30.0,19.0,5.0,6.0,43.0
3.0,Atlético de Madrid,30.0,17.0,8.0,5.0,42.0
4.0,Real Madrid,30.0,17.0,7.0,6.0,41.0
5.0,Athletic Club,30.0,14.0,7.0,9.0,35.0
6.0,Celta de Vigo,30.0,15.0,5.0,10.0,35.0
7.0,Sevilla CF,30.0,13.0,6.0,11.0,32.0
8.0,Real Sociedad,30.0,10.0,9.0,11.0,29.0
9.0,CD Málaga,30.0,8.0,12.0,10.0,28.0
10.0,Granada CF,30.0,10.0,8.0,12.0,28.0
11.0,RCD Español,30.0,8.0,9.0,13.0,25.0
12.0,Sporting de Gijón,30.0,10.0,5.0,15.0,25.0
13.0,CD Sabadell,30.0,8.0,5.0,17.0,21.0
14.0,UD Las Palmas,30.0,5.0,10.0,15.0,20.0
15.0,Elche CF,30.0,4.0,10.0,16.0,18.0
16.0,Real Zaragoza,30.0,3.0,9.0,18.0,15.0
