Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,34.0,19.0,9.0,6.0,47.0
2.0,Valencia CF,34.0,19.0,7.0,8.0,45.0
3.0,CF Barcelona,34.0,17.0,9.0,8.0,43.0
4.0,Atlético de Madrid,34.0,14.0,11.0,9.0,39.0
5.0,UD Las Palmas,34.0,15.0,8.0,11.0,38.0
6.0,Granada CF,34.0,14.0,8.0,12.0,36.0
7.0,CD Málaga,34.0,9.0,17.0,8.0,35.0
8.0,Real Sociedad,34.0,14.0,6.0,14.0,34.0
9.0,Athletic Club,34.0,15.0,4.0,15.0,34.0
10.0,Celta de Vigo,34.0,10.0,13.0,11.0,33.0
11.0,Real Gijón,34.0,12.0,8.0,14.0,32.0
12.0,RCD Español,34.0,12.0,8.0,14.0,32.0
13.0,Real Betis,34.0,10.0,10.0,14.0,30.0
14.0,Deportivo de La Coruña,34.0,11.0,8.0,15.0,30.0
15.0,Burgos CF,34.0,11.0,7.0,16.0,29.0
16.0,Sevilla CF,34.0,9.0,9.0,16.0,27.0
17.0,Córdoba CF,34.0,6.0,13.0,15.0,25.0
18.0,CD Sabadell,34.0,7.0,9.0,18.0,23.0
