Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Athletic Club,34.0,22.0,6.0,6.0,50.0
2.0,Real Madrid,34.0,20.0,9.0,5.0,49.0
3.0,Atlético de Madrid,34.0,20.0,6.0,8.0,46.0
4.0,FC Barcelona,34.0,17.0,10.0,7.0,44.0
5.0,Sevilla FC,34.0,15.0,12.0,7.0,42.0
6.0,Real Zaragoza,34.0,17.0,6.0,11.0,40.0
7.0,Real Sociedad,34.0,12.0,12.0,10.0,36.0
8.0,Sporting de Gijón,34.0,9.0,15.0,10.0,33.0
9.0,RCD Español,34.0,13.0,6.0,15.0,32.0
10.0,CD Málaga,34.0,10.0,10.0,14.0,30.0
11.0,Real Betis,34.0,9.0,12.0,13.0,30.0
12.0,Real Valladolid,34.0,9.0,11.0,14.0,29.0
13.0,UD Salamanca,34.0,10.0,8.0,16.0,28.0
14.0,CA Osasuna,34.0,10.0,6.0,18.0,26.0
15.0,Valencia CF,34.0,9.0,7.0,18.0,25.0
16.0,UD Las Palmas,34.0,7.0,11.0,16.0,25.0
17.0,Celta de Vigo,34.0,9.0,6.0,19.0,24.0
18.0,Racing de Santander,34.0,9.0,5.0,20.0,23.0
