Pos,Equipo,PJ,PG,PE,PP,Pts
1°,Barcelona (C),34.0,21.0,11.0,2.0,53.0
2°,Atlético de Madrid,34.0,16.0,11.0,7.0,43.0
3°,Athletic Club,34.0,13.0,15.0,6.0,41.0
4°,Sporting de Gijón,34.0,13.0,15.0,6.0,41.0
5°,Real Madrid[1]​,34.0,13.0,10.0,11.0,36.0
6°,Osasuna,34.0,13.0,8.0,13.0,34.0
7°,Real Sociedad,34.0,11.0,12.0,11.0,34.0
8°,Espanyol,34.0,11.0,12.0,11.0,34.0
9°,Valencia,34.0,9.0,15.0,10.0,33.0
10°,Real Zaragoza,34.0,11.0,11.0,12.0,33.0
11°,Racing de Santander,34.0,10.0,12.0,12.0,32.0
12°,Sevilla,34.0,10.0,11.0,13.0,31.0
13°,Real Valladolid,34.0,7.0,16.0,11.0,30.0
14°,Real Betis,34.0,11.0,8.0,15.0,30.0
15°,Hércules,34.0,9.0,12.0,13.0,30.0
16°,Málaga ,34.0,7.0,15.0,12.0,29.0
17°,Elche ,34.0,6.0,14.0,14.0,26.0
18°,Real Murcia ,34.0,6.0,10.0,18.0,22.0
