Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,38.0,26.0,10.0,2.0,62.0
2.0,Valencia,38.0,20.0,13.0,5.0,53.0
3.0,Barcelona,38.0,23.0,5.0,10.0,51.0
4.0,Atlético de Madrid,38.0,20.0,10.0,8.0,50.0
5.0,Real Sociedad,38.0,15.0,14.0,9.0,44.0
6.0,Sevilla,38.0,18.0,7.0,13.0,43.0
7.0,Logroñés,38.0,18.0,5.0,15.0,41.0
8.0,Osasuna,38.0,14.0,12.0,12.0,40.0
9.0,Real Zaragoza,38.0,16.0,8.0,14.0,40.0
10.0,Mallorca,38.0,11.0,17.0,10.0,39.0
11.0,Real Oviedo,38.0,12.0,15.0,11.0,39.0
12.0,Athletic Club,38.0,11.0,15.0,12.0,37.0
13.0,Sporting de Gijón,38.0,12.0,10.0,16.0,34.0
14.0,Castellón,38.0,9.0,14.0,15.0,32.0
15.0,Cádiz,38.0,12.0,6.0,20.0,30.0
16.0,Real Valladolid,38.0,8.0,14.0,16.0,30.0
17.0,Málaga,38.0,9.0,10.0,19.0,28.0
18.0,Tenerife,38.0,8.0,10.0,20.0,26.0
19.0,Celta de Vigo,38.0,5.0,12.0,21.0,22.0
20.0,Rayo Vallecano,38.0,6.0,7.0,25.0,19.0
