Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Atlético de Bilbao,30.0,22.0,4.0,4.0,48.0
2.0,CF Barcelona[Nota 1]​,30.0,22.0,3.0,5.0,47.0
3.0,Real Madrid[Nota 2]​,30.0,18.0,2.0,10.0,38.0
4.0,Sevilla CF,30.0,17.0,2.0,11.0,36.0
5.0,Atlético de Madrid,30.0,14.0,5.0,11.0,33.0
6.0,Valencia CF,30.0,13.0,6.0,11.0,32.0
7.0,RCD Español,30.0,14.0,3.0,13.0,31.0
8.0,Real Sociedad,30.0,11.0,8.0,11.0,30.0
9.0,Real Valladolid,30.0,13.0,4.0,13.0,30.0
10.0,Celta de Vigo,30.0,12.0,3.0,15.0,27.0
11.0,UD Las Palmas,30.0,11.0,4.0,15.0,26.0
12.0,Deportivo de La Coruña,30.0,11.0,4.0,15.0,26.0
13.0,Real Murcia,30.0,10.0,5.0,15.0,25.0
14.0,CD Alavés,30.0,9.0,6.0,15.0,24.0
15.0,Cultural Leonesa,30.0,5.0,4.0,21.0,14.0
16.0,Hércules CF,30.0,5.0,3.0,22.0,13.0
