Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid CF,30.0,20.0,5.0,5.0,45.0
2.0,Atlético de Madrid[Nota 1]​,30.0,16.0,10.0,4.0,42.0
3.0,CF Barcelona,30.0,17.0,4.0,9.0,38.0
4.0,Valencia CF,30.0,13.0,10.0,7.0,36.0
5.0,CA Osasuna,30.0,15.0,5.0,10.0,35.0
6.0,Atlético de Bilbao,30.0,14.0,4.0,12.0,32.0
7.0,Celta de Vigo,30.0,13.0,6.0,11.0,32.0
8.0,RCD Español,30.0,11.0,6.0,13.0,28.0
9.0,Real Sociedad,30.0,10.0,7.0,13.0,27.0
10.0,Sevilla CF,30.0,9.0,7.0,14.0,25.0
11.0,UD Las Palmas,30.0,9.0,7.0,14.0,25.0
12.0,Real Gijón,30.0,10.0,4.0,16.0,24.0
13.0,Granada CF,30.0,11.0,2.0,17.0,24.0
14.0,Real Zaragoza,30.0,8.0,8.0,14.0,24.0
15.0,Real Valladolid,30.0,9.0,5.0,16.0,23.0
16.0,Real Jaén,30.0,9.0,2.0,19.0,20.0
