Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,34.0,22.0,9.0,3.0,53
2.0,Real Sociedad,34.0,19.0,14.0,1.0,52
3.0,Sporting de Gijón,34.0,16.0,7.0,11.0,39
4.0,FC Barcelona,34.0,13.0,12.0,9.0,38
5.0,Real Betis,34.0,12.0,12.0,10.0,36
6.0,Valencia CF,34.0,12.0,12.0,10.0,36
7.0,Athletic Club,34.0,15.0,5.0,14.0,35
8.0,Sevilla FC,34.0,14.0,6.0,14.0,34
9.0,UD Salamanca,34.0,13.0,8.0,13.0,34[1]​
10.0,AD Almería,34.0,11.0,11.0,12.0,33[2]​
11.0,Real Zaragoza,34.0,13.0,7.0,14.0,33
12.0,UD Las Palmas,34.0,13.0,6.0,15.0,32
13.0,Atlético de Madrid,34.0,10.0,11.0,13.0,31
14.0,RCD Español,34.0,9.0,12.0,13.0,30
15.0,Hércules CF,34.0,8.0,12.0,14.0,28
16.0,Rayo Vallecano,34.0,9.0,8.0,17.0,26
17.0,Burgos CF,34.0,5.0,10.0,19.0,20
18.0,CD Málaga,34.0,8.0,6.0,20.0,19[1]​[2]​
