Pos,Equipo,PJ,PG,PE,PP,Pts
1°,Real Madrid (C),34.0,26.0,4.0,4.0,56.0
2°,Barcelona,34.0,18.0,9.0,7.0,45.0
3°,Athletic Club,34.0,17.0,9.0,8.0,43.0
4°,Real Zaragoza,34.0,15.0,12.0,7.0,42.0
5°,Atlético de Madrid,34.0,17.0,8.0,9.0,42.0
6°,Sporting de Gijón,34.0,13.0,15.0,6.0,41.0
7°,Real Sociedad,34.0,17.0,5.0,12.0,39.0
8°,Real Betis,34.0,11.0,13.0,10.0,35.0
9°,Sevilla,34.0,12.0,10.0,12.0,34.0
10°,Real Valladolid,34.0,13.0,6.0,15.0,32.0
11°,Espanyol,34.0,11.0,9.0,14.0,31.0
12°,Racing de Santander,34.0,10.0,11.0,13.0,31.0
13°,Las Palmas,34.0,9.0,9.0,16.0,27.0
14°,Osasuna,34.0,9.0,9.0,16.0,27.0
15°,Cádiz,34.0,9.0,8.0,17.0,26.0
16°,Valencia,34.0,8.0,9.0,17.0,25.0
17°,Hércules,34.0,8.0,6.0,20.0,22.0
18°,Celta de Vigo,34.0,5.0,4.0,25.0,14.0
