Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,30.0,18.0,11.0,1.0,47.0
2.0,UD Las Palmas,30.0,15.0,8.0,7.0,38.0
3.0,CF Barcelona,30.0,13.0,10.0,7.0,36.0
4.0,CD Sabadell,30.0,10.0,12.0,8.0,32.0
5.0,Valencia CF,30.0,10.0,11.0,9.0,31.0
6.0,Atlético de Madrid,30.0,10.0,10.0,10.0,30.0
7.0,Real Sociedad,30.0,10.0,9.0,11.0,29.0
8.0,Granada CF,30.0,11.0,7.0,12.0,29.0
9.0,Elche CF,30.0,7.0,15.0,8.0,29.0
10.0,Deportivo de La Coruña,30.0,11.0,6.0,13.0,28.0
11.0,Atlético de Bilbao,30.0,10.0,8.0,12.0,28.0
12.0,Pontevedra CF,30.0,7.0,13.0,10.0,27.0
13.0,Real Zaragoza,30.0,8.0,10.0,12.0,26.0
14.0,CD Málaga,30.0,9.0,7.0,14.0,25.0
15.0,RCD Español,30.0,8.0,8.0,14.0,24.0
16.0,Córdoba CF,30.0,5.0,11.0,14.0,21.0
