Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,30.0,20.0,6.0,4.0,46.0
2.0,CF Barcelona[2]​,30.0,17.0,7.0,6.0,41.0
3.0,Atlético de Bilbao,30.0,15.0,9.0,6.0,39.0
4.0,Sevilla CF,30.0,15.0,4.0,11.0,34.0
5.0,Valencia CF,30.0,15.0,3.0,12.0,33.0
6.0,Hércules CF,30.0,11.0,9.0,10.0,31.0
7.0,Deportivo de La Coruña,30.0,12.0,6.0,12.0,30.0
8.0,Atlético de Madrid,30.0,11.0,7.0,12.0,29.0
9.0,Real Valladolid,30.0,11.0,5.0,14.0,27.0
10.0,CD Alavés,30.0,11.0,5.0,14.0,27.0
11.0,Celta de Vigo,30.0,10.0,7.0,13.0,27.0
12.0,UD Las Palmas,30.0,10.0,7.0,13.0,27.0
13.0,RCD Español,30.0,8.0,10.0,12.0,26.0
14.0,Real Sociedad,30.0,9.0,6.0,15.0,24.0
15.0,Real Santander,30.0,9.0,2.0,19.0,20.0
16.0,CD Málaga,30.0,6.0,7.0,17.0,19.0
