Pos,Equipo,PJ,PG,PE,PP,Pts
1º,F C Barcelona (C),38.0,31.0,6.0,1.0,99.0
2º,Real Madrid C F,38.0,31.0,3.0,4.0,96.0
3º,Valencia C F,38.0,21.0,8.0,9.0,71.0
4º,Sevilla F C,38.0,19.0,6.0,13.0,63.0
5º,R C D Mallorca[n 1]​,38.0,18.0,8.0,12.0,62.0
6º,Getafe C F,38.0,17.0,7.0,14.0,58.0
7º,Villarreal C F,38.0,16.0,8.0,14.0,56.0
8º,Athletic Club,38.0,15.0,9.0,14.0,54.0
9º,Atlético de Madrid[n 2]​,38.0,13.0,8.0,17.0,47.0
10º,Deportivo de La Coruña,38.0,13.0,8.0,17.0,47.0
11º,R C D Espanyol,38.0,11.0,11.0,16.0,44.0
12º,C A Osasuna,38.0,11.0,10.0,17.0,43.0
13º,U D Almería,38.0,10.0,12.0,16.0,42.0
14°,Real Zaragoza,38.0,10.0,11.0,17.0,41.0
15º,Sporting de Gijón,38.0,9.0,13.0,16.0,40.0
16º,Racing de Santander,38.0,9.0,12.0,17.0,39.0
17º,Málaga C F,38.0,7.0,16.0,15.0,37.0
18º,Real Valladolid,38.0,7.0,15.0,16.0,36.0
19º,C D Tenerife,38.0,9.0,9.0,20.0,36.0
20º,Xerez C D,38.0,8.0,10.0,20.0,34.0
