Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,FC Barcelona,34.0,21.0,8.0,5.0,50.0
2.0,Atlético de Madrid,34.0,18.0,6.0,10.0,42.0
3.0,Real Zaragoza,34.0,16.0,8.0,10.0,40.0
4.0,Real Sociedad,34.0,16.0,7.0,11.0,39.0
5.0,Athletic Club,34.0,15.0,7.0,12.0,37.0
6.0,Granada CF,34.0,12.0,12.0,10.0,36.0
7.0,CD Málaga,34.0,12.0,12.0,10.0,36.0
8.0,Real Madrid,34.0,13.0,8.0,13.0,34.0
9.0,RCD Español,34.0,13.0,8.0,13.0,34.0
10.0,Valencia CF,34.0,13.0,7.0,14.0,33.0
11.0,UD Las Palmas,34.0,14.0,5.0,15.0,33.0
12.0,Celta de Vigo,34.0,12.0,6.0,16.0,30.0
13.0,Sporting de Gijón,34.0,13.0,4.0,17.0,30.0
14.0,Elche CF,34.0,11.0,7.0,16.0,29.0
15.0,Real Murcia,34.0,10.0,9.0,15.0,29.0
16.0,CD Castellón,34.0,9.0,11.0,14.0,29.0
17.0,Racing de Santander,34.0,8.0,11.0,15.0,27.0
18.0,Real Oviedo,34.0,9.0,6.0,19.0,24.0
