Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Atlético de Madrid,26.0,15.0,3.0,8.0,33.0
2.0,Deportivo de La Coruña,26.0,12.0,8.0,6.0,32.0
3.0,Valencia CF,26.0,12.0,7.0,7.0,31.0
4.0,Real Madrid CF,26.0,11.0,9.0,6.0,31.0
5.0,CF Barcelona,26.0,13.0,3.0,10.0,29.0
6.0,Athletic Club,26.0,12.0,5.0,9.0,29.0
7.0,Celta Vigo,26.0,13.0,2.0,11.0,28.0
8.0,Real Sociedad,26.0,9.0,9.0,8.0,27.0
9.0,Real Valladolid,26.0,8.0,9.0,9.0,25.0
10.0,Sevilla FC,26.0,11.0,3.0,12.0,25.0
11.0,RCD Español,26.0,8.0,6.0,12.0,22.0
12.0,CD Málaga,26.0,8.0,5.0,13.0,21.0
13.0,Gimnástico de Tarragona,26.0,7.0,2.0,17.0,16.0
14.0,Real Oviedo,26.0,4.0,7.0,15.0,15.0
