Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,30.0,19.0,5.0,6.0,43.0
2.0,CF Barcelona,30.0,18.0,4.0,8.0,40.0
3.0,Atlético de Madrid[Nota 1]​,30.0,15.0,6.0,9.0,36.0
4.0,Real Zaragoza,30.0,15.0,5.0,10.0,35.0
5.0,Atlético de Bilbao,30.0,12.0,8.0,10.0,32.0
6.0,Sevilla CF[Nota 2]​,30.0,12.0,7.0,11.0,31.0
7.0,Valencia CF,30.0,12.0,7.0,11.0,31.0
8.0,Elche CF,30.0,10.0,9.0,11.0,29.0
9.0,Real Betis,30.0,10.0,8.0,12.0,28.0
10.0,Real Oviedo,30.0,10.0,7.0,13.0,27.0
11.0,RCD Mallorca,30.0,11.0,5.0,14.0,27.0
12.0,CA Osasuna,30.0,10.0,7.0,13.0,27.0
13.0,RCD Español[Nota 3]​,30.0,8.0,10.0,12.0,26.0
14.0,Real Santander,30.0,11.0,4.0,15.0,26.0
15.0,Real Sociedad,30.0,9.0,5.0,16.0,23.0
16.0,CD Tenerife,30.0,6.0,7.0,17.0,19.0
