Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,30.0,19.0,9.0,2.0,47.0
2.0,CF Barcelona,30.0,20.0,2.0,8.0,42.0
3.0,RCD Español,30.0,15.0,7.0,8.0,37.0
4.0,Atlético de Madrid,30.0,14.0,7.0,9.0,35.0
5.0,Real Zaragoza,30.0,14.0,6.0,10.0,34.0
6.0,Valencia CF,30.0,14.0,4.0,12.0,32.0
7.0,Atlético de Bilbao,30.0,11.0,9.0,10.0,31.0
8.0,CD Sabadell,30.0,11.0,8.0,11.0,30.0
9.0,Elche CF,30.0,9.0,9.0,12.0,27.0
10.0,Pontevedra CF,30.0,9.0,9.0,12.0,27.0
11.0,UD Las Palmas,30.0,8.0,10.0,12.0,26.0
12.0,Córdoba CF,30.0,9.0,8.0,13.0,26.0
13.0,Sevilla CF,30.0,9.0,7.0,14.0,25.0
14.0,Granada CF,30.0,8.0,7.0,15.0,23.0
15.0,Hércules CF,30.0,6.0,8.0,16.0,20.0
16.0,Deportivo de La Coruña,30.0,7.0,4.0,19.0,18.0
