,Pos,Equipos,,PJ,PG,PE,PP,Pts
,1.0,Real Madrid C F (C),,38.0,32.0,4.0,2.0,100.0
,2.0,F CBarcelona,,38.0,28.0,7.0,3.0,91.0
,3.0,Valencia C F,,38.0,17.0,10.0,11.0,61.0
,4.0,Málaga C F,,38.0,17.0,7.0,14.0,58.0
,5.0,Atlético de Madrid,,38.0,15.0,11.0,12.0,56.0
,6.0,Levante U D,,38.0,16.0,7.0,15.0,55.0
,7.0,C A Osasuna,,38.0,13.0,15.0,10.0,54.0
,8.0,R C D Mallorca,,38.0,14.0,10.0,14.0,52.0
,9.0,Sevilla F C,,38.0,13.0,11.0,14.0,50.0
,10.0,Athletic Club [nota 1]​,,38.0,12.0,13.0,13.0,49.0
,11.0,Getafe C F,,38.0,12.0,11.0,15.0,47.0
,12.0,Real Sociedad,,38.0,12.0,11.0,15.0,47.0
,13.0,Real Betis,,38.0,13.0,8.0,17.0,47.0
,14.0,R C D Espanyol,,38.0,12.0,10.0,16.0,46.0
,15.0,Rayo Vallecano,,38.0,13.0,4.0,21.0,43.0
,16.0,Real Zaragoza,,38.0,12.0,7.0,19.0,43.0
,17.0,Granada C F,,38.0,12.0,6.0,20.0,42.0
,18.0,Villarreal C F (D),,38.0,9.0,14.0,15.0,41.0
,19.0,Sporting de Gijón (D),,38.0,10.0,7.0,21.0,37.0
,20.0,Racing de Santander (D),,38.0,4.0,15.0,19.0,27.0
