Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Atlético de Madrid,30.0,17.0,6.0,7.0,40.0
2.0,Sevilla FC,30.0,17.0,4.0,9.0,38.0
3.0,Valencia CF,30.0,17.0,3.0,10.0,37.0
4.0,CF Barcelona,30.0,16.0,3.0,11.0,35.0
5.0,Real Sociedad,30.0,15.0,5.0,10.0,35.0
6.0,Real Valladolid,30.0,14.0,5.0,11.0,33.0
7.0,Atlético de Bilbao,30.0,15.0,3.0,12.0,33.0
8.0,Celta de Vigo,30.0,15.0,3.0,12.0,33.0
9.0,Real Madrid CF,30.0,13.0,5.0,12.0,31.0
10.0,Real Santander,30.0,12.0,6.0,12.0,30.0
11.0,Deportivo de La Coruña,30.0,13.0,4.0,13.0,30.0
12.0,RCD Español,30.0,13.0,4.0,13.0,30.0
13.0,CD Málaga,30.0,12.0,5.0,13.0,29.0
14.0,Real Murcia,30.0,8.0,3.0,19.0,19.0
15.0,CD Alcoyano,30.0,6.0,2.0,22.0,14.0
16.0,UD Lérida,30.0,6.0,1.0,23.0,13.0
