Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Atlético de Madrid,34.0,19.0,8.0,7.0,46.0
2.0,FC Barcelona,34.0,18.0,9.0,7.0,45.0
3.0,Athletic Club,34.0,15.0,8.0,11.0,38.0
4.0,UD Las Palmas,34.0,15.0,6.0,13.0,36.0
5.0,Betis,34.0,15.0,6.0,13.0,36.0
6.0,RCD Español,34.0,14.0,8.0,12.0,36.0
7.0,Valencia CF,34.0,13.0,10.0,11.0,36.0
8.0,Real Sociedad,34.0,13.0,8.0,13.0,34.0
9.0,Real Madrid,34.0,12.0,10.0,12.0,34.0
10.0,Sevilla FC,34.0,11.0,12.0,11.0,34.0
11.0,Elche CF,34.0,11.0,11.0,12.0,33.0
12.0,UD Salamanca,34.0,13.0,6.0,15.0,32.0
13.0,Hércules CF,34.0,11.0,10.0,13.0,32.0
14.0,Burgos CF,34.0,14.0,4.0,16.0,32.0
15.0,Racing de Santander,34.0,12.0,7.0,15.0,31.0
16.0,Real Zaragoza,34.0,10.0,10.0,14.0,30.0
17.0,Celta de Vigo,34.0,9.0,11.0,14.0,29.0
18.0,CD Málaga,34.0,6.0,6.0,22.0,18.0
