,Pos,Equipos,PJ,PG,PE,PP,Pts
,1.0,Real Madrid C F,38.0,29.0,6.0,3.0,93.0
,2.0,F C Barcelona,38.0,28.0,6.0,4.0,90.0
,3.0,Atlético de Madrid,38.0,23.0,9.0,6.0,78.0
,4.0,Sevilla F C,38.0,21.0,9.0,8.0,72.0
,5.0,Villarreal C F,38.0,19.0,10.0,9.0,67.0
,6.0,Real Sociedad,38.0,19.0,7.0,12.0,64.0
,7.0,Athletic Club,38.0,19.0,6.0,13.0,63.0
,8.0,R C D Español,38.0,15.0,11.0,12.0,56.0
,9.0,Deportivo Alavés,38.0,14.0,13.0,11.0,55.0
,10.0,S D Eibar,38.0,15.0,9.0,14.0,54.0
,11.0,Málaga C F,38.0,12.0,10.0,16.0,46.0
,12.0,Valencia C F,38.0,13.0,7.0,18.0,46.0
,13.0,R C Celta de Vigo,38.0,13.0,6.0,19.0,45.0
,14.0,U D Las Palmas,38.0,10.0,9.0,19.0,39.0
,15.0,Real Betis Balompié,38.0,10.0,9.0,19.0,39.0
,16.0,R C D La Coruña,38.0,8.0,12.0,18.0,36.0
,17.0,C D Leganés,38.0,8.0,11.0,19.0,35.0
,18.0,Sporting de Gijón,38.0,7.0,10.0,21.0,31.0
,19.0,C A Osasuna,38.0,4.0,10.0,24.0,22.0
,20.0,Granada C F,38.0,4.0,8.0,26.0,20.0
