Pos,Equipo,PJ,PG,PE,PP,Pts
1°,Real Madrid (C),44.0,27.0,12.0,5.0,66.0
2°,Barcelona,44.0,24.0,15.0,5.0,63.0
3°,Espanyol,44.0,20.0,11.0,13.0,51.0
4°,Sporting de Gijón,44.0,16.0,13.0,15.0,45.0
5°,Real Zaragoza,44.0,15.0,14.0,15.0,44.0
6°,Mallorca,44.0,15.0,12.0,17.0,42.0
7°,Atlético de Madrid,44.0,18.0,11.0,15.0,47.0
8°,Real Sociedad,44.0,19.0,9.0,16.0,47.0
9°,Real Betis,44.0,18.0,9.0,17.0,45.0
10°,Real Valladolid,44.0,15.0,11.0,18.0,41.0
11°,Real Murcia,44.0,17.0,7.0,20.0,41.0
12°,Sevilla,44.0,14.0,11.0,19.0,39.0
13°,Athletic Club,44.0,15.0,12.0,17.0,42.0
14°,Las Palmas,44.0,16.0,9.0,19.0,41.0
15°,Sabadell,44.0,12.0,14.0,18.0,38.0
16°,Osasuna,44.0,12.0,14.0,18.0,38.0
17°,Racing de Santander,44.0,12.0,9.0,23.0,33.0
18°,Cádiz,44.0,10.0,9.0,25.0,29.0
