Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Atlético de Madrid,30.0,18.0,6.0,6.0,42.0
2.0,Atlético de Bilbao,30.0,17.0,7.0,6.0,41.0
3.0,Sevilla CF,30.0,14.0,7.0,9.0,35.0
4.0,CF Barcelona,30.0,13.0,9.0,8.0,35.0
5.0,Valencia CF,30.0,15.0,5.0,10.0,35.0
6.0,Real Madrid,30.0,13.0,9.0,8.0,35.0
7.0,Real Sociedad,30.0,15.0,3.0,12.0,33.0
8.0,Real Zaragoza,30.0,13.0,7.0,10.0,33.0
9.0,UD Las Palmas,30.0,10.0,7.0,13.0,27.0
10.0,Celta de Vigo,30.0,10.0,7.0,13.0,27.0
11.0,Elche CF,30.0,8.0,10.0,12.0,26.0
12.0,Granada CF,30.0,8.0,10.0,12.0,26.0
13.0,CD Sabadell,30.0,10.0,5.0,15.0,25.0
14.0,Deportivo de La Coruña,30.0,8.0,9.0,13.0,25.0
15.0,RCD Mallorca,30.0,7.0,8.0,15.0,22.0
16.0,Pontevedra CF,30.0,4.0,5.0,21.0,13.0
