Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid C F (C),38.0,23.0,7.0,8.0,76.0
2.0,F C Barcelona,38.0,22.0,10.0,6.0,76.0
3.0,Sevilla F C,38.0,21.0,8.0,9.0,71.0
4.0,Valencia C F,38.0,20.0,6.0,12.0,66.0
5.0,Villarreal C F,38.0,18.0,8.0,12.0,62.0
6.0,Real Zaragoza,38.0,16.0,12.0,10.0,60.0
7.0,Atlético de Madrid,38.0,17.0,9.0,12.0,60.0
8.0,Recreativo de Huelva,38.0,15.0,9.0,14.0,54.0
9.0,Getafe C F[Nota 1]​,38.0,14.0,10.0,14.0,52.0
10.0,Racing de Santander,38.0,12.0,14.0,12.0,50.0
11.0,R C D Espanyol,38.0,12.0,13.0,13.0,49.0
12.0,R C D Mallorca,38.0,14.0,7.0,17.0,49.0
13.0,Deportivo de La Coruña,38.0,12.0,11.0,15.0,47.0
14.0,C A Osasuna,38.0,13.0,7.0,18.0,46.0
15.0,Levante U D,38.0,10.0,12.0,16.0,42.0
16.0,Real Betis,38.0,8.0,16.0,14.0,40.0
17.0,Athletic Club,38.0,10.0,10.0,18.0,40.0
18.0,Celta de Vigo,38.0,10.0,9.0,19.0,39.0
19.0,Real Sociedad,38.0,8.0,11.0,19.0,35.0
20.0,Gimnàstic de Tarragona,38.0,7.0,7.0,24.0,28.0
