Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,FC Barcelona,38.0,23.0,5.0,10.0,74.0
2.0,Athletic Club,38.0,17.0,14.0,7.0,65.0
3.0,Real Sociedad,38.0,16.0,15.0,7.0,63.0
4.0,Real Madrid[1]​,38.0,17.0,12.0,9.0,63.0
5.0,RCD Mallorca[2]​,38.0,16.0,12.0,10.0,60.0
6.0,Celta de Vigo,38.0,17.0,9.0,12.0,60.0
7.0,Atlético de Madrid,38.0,16.0,12.0,10.0,60.0
8.0,Real Betis,38.0,17.0,8.0,13.0,59.0
9.0,Valencia CF,38.0,16.0,7.0,15.0,55.0
10.0,RCD Español,38.0,12.0,17.0,9.0,53.0
11.0,Real Valladolid,38.0,13.0,11.0,14.0,50.0
12.0,Deportivo de La Coruña,38.0,12.0,13.0,13.0,49.0
13.0,Real Zaragoza,38.0,12.0,12.0,14.0,48.0
14.0,Racing de Santander,38.0,12.0,9.0,17.0,45.0
15.0,UD Salamanca,38.0,12.0,9.0,17.0,45.0
16.0,CD Tenerife,38.0,11.0,12.0,15.0,45.0
17.0,SD Compostela,38.0,11.0,11.0,16.0,44.0
18.0,Real Oviedo,38.0,9.0,13.0,16.0,40.0
19.0,CP Mérida,38.0,9.0,12.0,17.0,39.0
20.0,Sporting de Gijón,38.0,2.0,7.0,29.0,13.0
