Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,30.0,22.0,2.0,6.0,46.0
2.0,CF Barcelona,30.0,19.0,4.0,7.0,42.0
3.0,Real Betis,30.0,15.0,7.0,8.0,37.0
4.0,Real Zaragoza,30.0,14.0,6.0,10.0,34.0
5.0,Elche CF,30.0,13.0,7.0,10.0,33.0
6.0,Valencia CF,30.0,16.0,0.0,14.0,32.0
7.0,Atlético de Madrid,30.0,10.0,9.0,11.0,29.0
8.0,Atlético de Bilbao,30.0,12.0,5.0,13.0,29.0
9.0,Sevilla CF,30.0,9.0,11.0,10.0,29.0
10.0,Levante UD,30.0,10.0,7.0,13.0,27.0
11.0,Córdoba CF,30.0,10.0,6.0,14.0,26.0
12.0,Real Murcia,30.0,11.0,4.0,15.0,26.0
13.0,RCD Español,30.0,10.0,5.0,15.0,25.0
14.0,Real Oviedo,30.0,10.0,5.0,15.0,25.0
15.0,Pontevedra CF,30.0,8.0,5.0,17.0,21.0
16.0,Real Valladolid,30.0,7.0,5.0,18.0,19.0
