Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,CF Barcelona,26.0,16.0,5.0,5.0,37.0
2.0,Valencia CF,26.0,16.0,3.0,7.0,35.0
3.0,Real Madrid CF,26.0,15.0,4.0,7.0,34.0
4.0,Atlético de Madrid,26.0,15.0,4.0,7.0,34.0
5.0,Real Oviedo,26.0,13.0,4.0,9.0,30.0
6.0,Athletic Club,26.0,11.0,2.0,13.0,24.0
7.0,RCD Español,26.0,10.0,4.0,12.0,24.0
8.0,Sevilla FC,26.0,11.0,1.0,14.0,23.0
9.0,Gimnástico de Tarragona,26.0,10.0,3.0,13.0,23.0
10.0,Deportivo de La Coruña,26.0,9.0,4.0,13.0,22.0
11.0,Celta de Vigo,26.0,9.0,4.0,13.0,22.0
12.0,Real Valladolid,26.0,10.0,2.0,14.0,22.0
13.0,CD Alcoyano,26.0,8.0,5.0,13.0,21.0
14.0,CD Sabadell,26.0,5.0,3.0,18.0,13.0
