Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,30.0,23.0,3.0,4.0,49.0
2.0,Atlético de Madrid,30.0,14.0,9.0,7.0,37.0
3.0,Real Oviedo,30.0,15.0,3.0,12.0,33.0
4.0,Real Valladolid,30.0,15.0,3.0,12.0,33.0
5.0,Real Zaragoza,30.0,14.0,4.0,12.0,32.0
6.0,CF Barcelona,30.0,11.0,9.0,10.0,31.0
7.0,Valencia CF,30.0,14.0,3.0,13.0,31.0
8.0,Elche CF,30.0,11.0,7.0,12.0,29.0
9.0,Real Betis,30.0,12.0,4.0,14.0,28.0
10.0,Atlético de Bilbao,30.0,10.0,8.0,12.0,28.0
11.0,Sevilla CF,30.0,11.0,5.0,14.0,27.0
12.0,Córdoba CF,30.0,12.0,3.0,15.0,27.0
13.0,RCD Mallorca,30.0,11.0,4.0,15.0,26.0
14.0,Deportivo La Coruña,30.0,11.0,3.0,16.0,25.0
15.0,CA Osasuna,30.0,9.0,6.0,15.0,24.0
16.0,CD Málaga,30.0,8.0,4.0,18.0,20.0
