Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Atlético de Madrid,30.0,18.0,8.0,4.0,44.0
2.0,Real Madrid[Nota 1]​,30.0,19.0,5.0,6.0,43.0
3.0,CF Barcelona,30.0,16.0,6.0,8.0,38.0
4.0,Real Zaragoza,30.0,14.0,8.0,8.0,36.0
5.0,Atlético de Bilbao,30.0,14.0,6.0,10.0,34.0
6.0,Elche CF,30.0,12.0,8.0,10.0,32.0
7.0,Pontevedra CF,30.0,13.0,5.0,12.0,31.0
8.0,Sevilla CF,30.0,9.0,9.0,12.0,27.0
9.0,Valencia CF,30.0,11.0,5.0,14.0,27.0
10.0,UD Las Palmas,30.0,9.0,8.0,13.0,26.0
11.0,Córdoba CF,30.0,10.0,5.0,15.0,25.0
12.0,RCD Español,30.0,7.0,10.0,13.0,24.0
13.0,CD Málaga,30.0,8.0,8.0,14.0,24.0
14.0,CD Sabadell,30.0,10.0,3.0,17.0,23.0
15.0,Real Mallorca,30.0,9.0,5.0,16.0,23.0
16.0,Real Betis,30.0,7.0,9.0,14.0,23.0
