Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid (C),38.0,24.0,8.0,6.0,80.0
2.0,Deportivo de La Coruña,38.0,22.0,7.0,9.0,73.0
3.0,Mallorca,38.0,20.0,11.0,7.0,71.0
4.0,Barcelona,38.0,17.0,12.0,9.0,63.0
5.0,Valencia,38.0,18.0,9.0,11.0,63.0
6.0,Celta de Vigo,38.0,16.0,11.0,11.0,59.0
7.0,Villarreal,38.0,16.0,9.0,13.0,57.0
8.0,Málaga,38.0,16.0,8.0,14.0,56.0
9.0,Espanyol,38.0,14.0,8.0,16.0,50.0
10.0,Deportivo Alavés,38.0,14.0,7.0,17.0,49.0
11.0,Las Palmas,38.0,13.0,7.0,18.0,46.0
12.0,Athletic Club,38.0,11.0,10.0,17.0,43.0
13.0,Real Sociedad,38.0,11.0,10.0,17.0,43.0
14.0,Rayo Vallecano,38.0,10.0,13.0,15.0,43.0
15.0,Osasuna,38.0,10.0,12.0,16.0,42.0
16.0,Real Valladolid,38.0,9.0,15.0,14.0,42.0
17.0,Real Zaragoza[Nota 1]​,38.0,9.0,15.0,14.0,42.0
18.0,Real Oviedo,38.0,11.0,8.0,19.0,41.0
19.0,Racing de Santander,38.0,10.0,9.0,19.0,39.0
20.0,Numancia,38.0,10.0,9.0,19.0,39.0
