Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Valencia CF,26.0,16.0,2.0,8.0,34.0
2.0,Atlético de Bilbao,26.0,15.0,4.0,7.0,34.0
3.0,Atlético Aviación,26.0,13.0,6.0,7.0,32.0
4.0,CF Barcelona,26.0,14.0,3.0,9.0,31.0
5.0,CD Sabadell,26.0,11.0,8.0,7.0,30.0
6.0,Sevilla CF,26.0,12.0,5.0,9.0,29.0
7.0,Real Madrid,26.0,11.0,5.0,10.0,27.0
8.0,Real Oviedo,26.0,10.0,7.0,9.0,27.0
9.0,Celta de Vigo,26.0,11.0,4.0,11.0,26.0
10.0,Real Gijón,26.0,10.0,5.0,11.0,25.0
11.0,RCD Español,26.0,9.0,1.0,16.0,19.0
12.0,Real Murcia,26.0,6.0,7.0,13.0,19.0
13.0,Deportivo de La Coruña,26.0,5.0,8.0,13.0,18.0
14.0,CD Castellón,26.0,4.0,5.0,17.0,13.0
