Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid CF,30.0,20.0,4.0,6.0,44.0
2.0,Sevilla CF[Nota 1]​,30.0,17.0,5.0,8.0,39.0
3.0,CF Barcelona[Nota 2]​,30.0,16.0,7.0,7.0,39.0
4.0,Atlético de Bilbao,30.0,15.0,7.0,8.0,37.0
5.0,Atlético de Madrid,30.0,15.0,4.0,11.0,34.0
6.0,CA Osasuna,30.0,12.0,7.0,11.0,31.0
7.0,RCD Español,30.0,11.0,8.0,11.0,30.0
8.0,Real Valladolid,30.0,11.0,6.0,13.0,28.0
9.0,Real Zaragoza,30.0,11.0,6.0,13.0,28.0
10.0,UD Las Palmas,30.0,9.0,9.0,12.0,27.0
11.0,Valencia CF,30.0,10.0,7.0,13.0,27.0
12.0,Real Sociedad,30.0,9.0,8.0,13.0,26.0
13.0,Celta de Vigo,30.0,8.0,7.0,15.0,23.0
14.0,Real Jaén,30.0,9.0,5.0,16.0,23.0
15.0,Deportivo de La Coruña,30.0,10.0,2.0,18.0,22.0
16.0,CD Condal,30.0,7.0,8.0,15.0,22.0
