Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Sociedad,34.0,20.0,7.0,7.0,47.0
2.0,FC Barcelona[2]​,34.0,19.0,7.0,8.0,45.0
3.0,Real Madrid,34.0,18.0,8.0,8.0,44.0
4.0,Athletic Club,34.0,18.0,4.0,12.0,40.0
5.0,Valencia CF,34.0,17.0,5.0,12.0,39.0
6.0,Real Betis,34.0,15.0,6.0,13.0,36.0
7.0,Sevilla FC,34.0,15.0,5.0,14.0,35.0
8.0,Atlético de Madrid,34.0,15.0,4.0,15.0,34.0
9.0,Real Valladolid,34.0,13.0,8.0,13.0,34.0
10.0,CA Osasuna,34.0,14.0,6.0,14.0,34.0
11.0,Real Zaragoza,34.0,13.0,8.0,13.0,34.0
12.0,Racing de Santander,34.0,12.0,8.0,14.0,32.0
13.0,RCD Español,34.0,13.0,6.0,15.0,32.0
14.0,Sporting de Gijón,34.0,10.0,9.0,15.0,29.0
15.0,UD Las Palmas,34.0,11.0,7.0,16.0,29.0
16.0,Cádiz CF,34.0,13.0,3.0,18.0,29.0
17.0,Hércules CF,34.0,11.0,5.0,18.0,27.0
18.0,CD Castellón,34.0,3.0,6.0,25.0,12.0
