Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Valencia CF,26.0,18.0,4.0,4.0,40.0
2.0,Atlético Aviación,26.0,15.0,4.0,7.0,34.0
3.0,Sevilla CF,26.0,12.0,8.0,6.0,32.0
4.0,Real Oviedo,26.0,12.0,5.0,9.0,29.0
5.0,CD Castellón,26.0,13.0,3.0,10.0,29.0
6.0,CF Barcelona,26.0,10.0,8.0,8.0,28.0
7.0,Real Madrid,26.0,11.0,6.0,9.0,28.0
8.0,Granada CF,26.0,9.0,8.0,9.0,26.0
9.0,CD Sabadell,26.0,11.0,3.0,12.0,25.0
10.0,Atlético de Bilbao,26.0,10.0,5.0,11.0,25.0
11.0,RCD Español,26.0,9.0,5.0,12.0,23.0
12.0,Deportivo de La Coruña,26.0,6.0,7.0,13.0,19.0
13.0,Real Sociedad,26.0,5.0,7.0,14.0,17.0
14.0,Celta de Vigo,26.0,2.0,5.0,19.0,9.0
