Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,42.0,27.0,11.0,4.0,92.0
2.0,FC Barcelona,42.0,28.0,6.0,8.0,90.0
3.0,Deportivo de La Coruña,42.0,21.0,14.0,7.0,77.0
4.0,Real Betis[1]​,42.0,21.0,14.0,7.0,77.0
5.0,Atlético de Madrid,42.0,20.0,11.0,11.0,71.0
6.0,Athletic Club,42.0,16.0,16.0,10.0,64.0
7.0,Real Valladolid,42.0,18.0,10.0,14.0,64.0
8.0,Real Sociedad,42.0,18.0,9.0,15.0,63.0
9.0,CD Tenerife,42.0,15.0,11.0,16.0,56.0
10.0,Valencia CF,42.0,15.0,11.0,16.0,56.0
11.0,SD Compostela,42.0,13.0,14.0,15.0,53.0
12.0,RCD Español,42.0,14.0,9.0,19.0,51.0
13.0,Racing de Santander,42.0,11.0,17.0,14.0,50.0
14.0,Real Zaragoza,42.0,12.0,14.0,16.0,50.0
15.0,Sporting de Gijón,42.0,13.0,11.0,18.0,50.0
16.0,Celta de Vigo,42.0,12.0,13.0,17.0,49.0
17.0,Real Oviedo,42.0,12.0,12.0,18.0,48.0
18.0,Rayo Vallecano,42.0,13.0,6.0,23.0,45.0
19.0,CF Extremadura,42.0,11.0,11.0,20.0,44.0
20.0,Sevilla FC,42.0,12.0,7.0,23.0,43.0
21.0,Hércules CF,42.0,12.0,5.0,25.0,41.0
22.0,CD Logroñés,42.0,9.0,6.0,27.0,33.0
