Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,CF Barcelona,26.0,15.0,7.0,4.0,37.0
2.0,Valencia CF,26.0,15.0,4.0,7.0,34.0
3.0,Atlético de Madrid,26.0,13.0,7.0,6.0,33.0
4.0,Celta de Vigo,26.0,15.0,3.0,8.0,33.0
5.0,Sevilla CF,26.0,12.0,5.0,9.0,29.0
6.0,Atlético de Bilbao,26.0,12.0,4.0,10.0,28.0
7.0,Gimnástico de Tarragona,26.0,10.0,4.0,12.0,24.0
8.0,RCD Español,26.0,9.0,6.0,11.0,24.0
9.0,Real Oviedo,26.0,9.0,5.0,12.0,23.0
10.0,CD Alcoyano,26.0,9.0,4.0,13.0,22.0
11.0,Real Madrid,26.0,7.0,7.0,12.0,21.0
12.0,CD Sabadell,26.0,9.0,3.0,14.0,21.0
13.0,Real Sociedad,26.0,8.0,3.0,15.0,19.0
14.0,Real Gijón,26.0,7.0,4.0,15.0,18.0
