Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,34.0,20.0,8.0,6.0,48.0
2.0,CF Barcelona,34.0,18.0,7.0,9.0,43.0
3.0,Atlético de Madrid,34.0,18.0,6.0,10.0,42.0
4.0,RCD Español,34.0,18.0,4.0,12.0,40.0
5.0,Athletic Club,34.0,14.0,11.0,9.0,39.0
6.0,Hércules CF,34.0,12.0,12.0,10.0,36.0
7.0,Real Betis,34.0,15.0,5.0,14.0,35.0
8.0,Real Sociedad,34.0,12.0,10.0,12.0,34.0
9.0,UD Salamanca,34.0,12.0,10.0,12.0,34.0
10.0,Valencia CF,34.0,12.0,8.0,14.0,32.0
11.0,Sevilla CF,34.0,13.0,6.0,15.0,32.0
12.0,Real Santander,34.0,14.0,4.0,16.0,32.0
13.0,UD Las Palmas,34.0,12.0,6.0,16.0,30.0
14.0,Real Zaragoza,34.0,11.0,8.0,15.0,30.0
15.0,Elche CF,34.0,8.0,12.0,14.0,28.0
16.0,Real Oviedo,34.0,11.0,5.0,18.0,27.0
17.0,Granada CF,34.0,8.0,10.0,16.0,26.0
18.0,Real Gijón,34.0,7.0,10.0,17.0,24.0
