Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,30.0,17.0,6.0,7.0,40.0
2.0,FC Barcelona,30.0,16.0,4.0,10.0,36.0
3.0,Valencia CF,30.0,14.0,6.0,10.0,34.0
4.0,RCD Español,30.0,14.0,6.0,10.0,34.0
5.0,Sevilla FC,30.0,15.0,2.0,13.0,32.0
6.0,Athletic Club,30.0,12.0,8.0,10.0,32.0
7.0,Deportivo de La Coruña,30.0,13.0,5.0,12.0,31.0
8.0,Racing Santander,30.0,12.0,7.0,11.0,31.0
9.0,Atlético de Madrid,30.0,11.0,7.0,12.0,29.0
10.0,Celta de Vigo,30.0,12.0,5.0,13.0,29.0
11.0,Real Valladolid,30.0,12.0,5.0,13.0,29.0
12.0,Real Sociedad,30.0,11.0,7.0,12.0,29.0
13.0,CA Osasuna,30.0,12.0,4.0,14.0,28.0
14.0,Real Jaén,30.0,11.0,6.0,13.0,28.0
15.0,Real Oviedo,30.0,8.0,6.0,16.0,22.0
16.0,Sporting de Gijón,30.0,7.0,2.0,21.0,16.0
