Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Sociedad,34.0,19.0,7.0,8.0,45.0
2.0,Real Madrid,34.0,20.0,5.0,9.0,45.0
3.0,Atlético de Madrid,34.0,16.0,10.0,8.0,42.0
4.0,Valencia CF,34.0,17.0,8.0,9.0,42.0
5.0,FC Barcelona,34.0,18.0,5.0,11.0,41.0
6.0,Real Betis,34.0,17.0,6.0,11.0,40.0
7.0,Sporting de Gijón,34.0,14.0,10.0,10.0,38.0
8.0,Sevilla FC,34.0,14.0,9.0,11.0,37.0
9.0,Athletic Club,34.0,14.0,7.0,13.0,35.0
10.0,RCD Español,34.0,14.0,6.0,14.0,34.0
11.0,CA Osasuna,34.0,12.0,8.0,14.0,32.0
12.0,Real Valladolid,34.0,9.0,13.0,12.0,31.0
13.0,Hércules CF,34.0,10.0,10.0,14.0,30.0
14.0,Real Zaragoza,34.0,9.0,11.0,14.0,29.0
15.0,UD Las Palmas,34.0,12.0,4.0,18.0,28.0
16.0,Real Murcia,34.0,8.0,7.0,19.0,23.0
17.0,UD Salamanca,34.0,7.0,7.0,20.0,21.0
18.0,AD Almería,34.0,6.0,7.0,21.0,19.0
